id_transaccion,id_cliente,categoria_comercio,pais,hora_dia,importe_eur,antiguedad_cuenta_dias,transacciones_ult_24h,contracargos_prev_180d,cambio_dispositivo,puntuacion_riesgo_ip,es_fraude
tx_001802,cust_00375,videojuegos,ES,12,31.31,823,1,0,0,8.6,0
tx_001191,cust_00333,suscripciones,ES,0,92.4,767,3,0,0,0.9,0
tx_001818,cust_00202,moda,DE,21,30.07,1164,1,0,0,22.7,0
tx_000252,cust_00395,moda,ES,1,11.54,3498,4,0,0,16.2,0
tx_002506,cust_00093,moda,ES,18,73.26,3322,2,0,0,15.3,0
tx_001118,cust_00469,restaurantes,GB,17,14.88,27,0,0,0,6.3,0
tx_001412,cust_00449,moda,ES,8,34.62,464,1,0,0,1.0,0
tx_002114,cust_00728,suscripciones,ES,16,24.84,51,1,2,0,14.1,0
tx_000409,cust_00747,restaurantes,DE,0,23.53,99,1,0,0,12.8,0
tx_002580,cust_00454,supermercado,BR,19,18.14,459,0,0,1,35.0,0
tx_002255,cust_00236,supermercado,ES,14,10.18,429,0,1,1,2.2,0
tx_000053,cust_00291,videojuegos,ES,13,86.07,779,3,0,0,9.9,0
tx_000645,cust_00616,videojuegos,ES,22,9.61,6,0,0,0,6.8,0
tx_001764,cust_00481,supermercado,DE,13,13.43,448,2,0,0,15.4,0
tx_002777,cust_00418,supermercado,ES,19,4.61,2597,1,0,0,10.1,0
tx_000901,cust_00004,supermercado,DE,23,6.8,744,3,0,0,6.8,0
tx_001074,cust_00420,restaurantes,NL,10,20.16,3129,1,0,0,15.3,0
tx_000473,cust_00346,lujo,ES,13,57.81,1252,1,0,0,21.9,0
tx_002739,cust_00394,supermercado,ES,11,10.76,212,3,0,0,0.0,0
tx_002547,cust_00636,videojuegos,ES,11,36.98,1081,13,0,0,22.4,0
tx_000045,cust_00055,supermercado,ES,0,3.0,2220,0,0,0,0.0,0
tx_000290,cust_00379,electronica,DE,16,25.89,9,1,0,0,12.4,1
tx_000913,cust_00301,supermercado,ES,9,12.72,2161,4,0,1,24.0,0
tx_002084,cust_00534,lujo,ES,0,173.26,1823,10,0,0,0.0,0
tx_001361,cust_00066,supermercado,PT,20,197.17,1979,1,0,0,11.9,0
tx_002896,cust_00430,supermercado,US,17,10.71,306,0,0,0,29.1,0
tx_002604,cust_00450,videojuegos,ES,6,19.9,2091,1,3,0,16.8,0
tx_001227,cust_00086,restaurantes,FR,3,16.72,1558,2,1,0,14.5,0
tx_000297,cust_00679,supermercado,ES,23,13.08,66,14,0,0,8.8,0
tx_001242,cust_00622,restaurantes,FR,9,16.11,613,0,0,0,9.7,0
tx_001006,cust_00736,electronica,ES,6,19.03,2304,0,0,0,12.8,0
tx_001666,cust_00317,bienes_digitales,FR,1,13.21,28,0,0,0,15.2,0
tx_000747,cust_00426,videojuegos,ES,20,4.08,523,2,0,1,24.1,0
tx_002852,cust_00313,electronica,ES,11,39.27,1773,1,0,0,13.0,0
tx_000292,cust_00214,videojuegos,ES,6,11.79,2621,1,0,0,18.3,0
tx_000782,cust_00510,moda,ES,12,24.87,2298,1,0,0,11.4,0
tx_002145,cust_00290,electronica,FR,22,59.21,1581,1,0,0,14.4,0
tx_000323,cust_00492,supermercado,FR,4,11.03,54,4,0,0,15.0,0
tx_000299,cust_00228,supermercado,NL,23,14.5,794,5,1,1,33.1,0
tx_001299,cust_00424,bienes_digitales,FR,21,58.48,28,0,0,0,10.4,0
tx_000195,cust_00767,bienes_digitales,ES,12,23.42,427,2,0,0,22.3,0
tx_000064,cust_00774,suscripciones,GB,2,28.42,36,3,0,0,15.8,0
tx_000394,cust_00479,electronica,ES,7,25.14,2064,0,0,0,18.5,0
tx_000728,cust_00071,electronica,ES,11,22.74,1872,1,0,0,6.0,0
tx_001584,cust_00331,restaurantes,ES,22,15.52,441,1,0,0,15.9,0
tx_001548,cust_00679,bienes_digitales,ES,17,58.04,1988,2,0,0,0.0,0
tx_002426,cust_00449,supermercado,ES,18,6.76,46,1,0,0,13.2,0
tx_000015,cust_00574,suscripciones,ES,16,11.99,3176,2,0,0,20.4,0
tx_002568,cust_00506,bienes_digitales,BR,6,54.21,3487,1,0,1,41.9,0
tx_001601,cust_00241,marketplace,PT,23,37.37,29,1,0,0,3.7,0
tx_001091,cust_00402,restaurantes,ES,18,8.93,142,1,0,0,23.4,0
tx_002112,cust_00540,viajes,ES,3,12.76,85,4,0,1,15.3,0
tx_000204,cust_00560,bienes_digitales,ES,23,28.52,1899,1,0,0,4.7,0
tx_002419,cust_00231,bienes_digitales,ES,4,28.07,206,1,0,1,16.1,0
tx_000153,cust_00734,videojuegos,ES,12,66.4,1278,0,0,0,15.3,0
tx_002902,cust_00640,lujo,ES,7,16.68,1737,1,0,0,15.2,0
tx_001360,cust_00292,supermercado,ES,9,13.87,1482,2,0,0,4.9,0
tx_000773,cust_00004,restaurantes,GB,19,84.35,3169,3,0,0,20.0,0
